公車名稱,站牌名稱
0東,臺北車站(公園)
0東,捷運台大醫院站
0東,中正紀念堂
0東,信義杭州路口
0東,捷運東門站
0東,信義永康街口(捷運東門站)
0東,信義新生路口
0東,捷運大安森林公園站
0東,時報廣場
0東,三民國中
0東,內湖行政大樓
0東,國防醫學中心
0東,三總內湖站
0東,將軍嶺
0東,方濟中學
0東,麗寶大樓
0東,瑞湖街口
0南,信義永康街口(捷運東門站)
0南,金華新生路口
0南,和平新生路口
0南,龍安國小(公務人力發展學院)
0南,臺大綜合體育館
0南,臺大
0南,捷運公館站
0南,師大分部
0南,捷運萬芳醫院站
0南,臺灣警察專科學校
0南,文山運動中心(萬芳)
0南,棕櫚泉社區
0南,萬利街口
0南,捷運萬芳社區站
0南,萬芳6號公園
1,松仁路
1,吳興國小(松仁)
1,信義國中(莊敬)
1,臺北醫學大學
1,景新里
1,世貿中心(莊敬)
1,吳興街口
1,三興國小(臨江街觀光夜市)
1,捷運公館站
1,台電大樓
1,捷運台電大樓站
1,羅斯福浦城街口
1,羅斯福金門街口
1,捷運古亭站(羅斯福)
1,捷運古亭站(杭州)
1,昆明街口
1,捷運龍山寺站
1,中國時報
1,華江派出所
1,大理高中
1,人壽一村
1,華江站
2,捷運台大醫院站
2,臺北車站(青島)
2,行政院
2,臺北車站(鄭州)
2,後車站
2,圓環(重慶)
2,民生重慶路口
2,中窟
2,福安里
2,福安區民活動中心
2,下竹圍
2,地藏禪寺
2,臨江園
2,浮線
2,台北海大
2,富洲里
5,捷運行天宮站(松江路)
5,長春松江路口
5,南京吉林路口
5,南京林森路口
5,樂華夜市
5,永和路口
5,永安市場(永貞路)
5,中安街
5,安平派出所
5,安平路
5,宜安路
5,捷運中和站(中山路)
5,家美工業區
5,中和保養廠
8,中和教會
8,景新街
8,三介廟
8,新和國小
8,輕軌新和國小站(水工大樓)
8,永平里
8,陽光運動公園(新店花市)
8,安和路二段
8,安華路口
8,下城社區
8,胡璉故居紀念館
8,頂城
