方向,站序,站牌名稱,站牌ID,緯度,經度,預估時間
去程,1,萬芳社區,1166500360,25.001753,121.570457,尚未發車
去程,2,萬芳活動中心,1166500460,25.002436,121.569474,尚未發車
去程,3,萬芳國小,1165300420,25.001037,121.5680544,尚未發車
去程,4,萬芳6號公園,1165300540,24.999962,121.56892,尚未發車
去程,5,萬利街口,1165400260,24.999065,121.567262,尚未發車
去程,6,棕櫚泉社區,1169600360,24.997568,121.5625566,尚未發車
去程,7,文山運動中心(萬芳),1169600060,24.99706,121.5603813,尚未發車
去程,8,臺灣警察專科學校,1169800200,24.997677,121.559454,尚未發車
去程,9,捷運萬芳醫院站,1169600260,24.999259,121.557829,尚未發車
去程,10,中國科技大學(興隆),1169400000,25.000405,121.5557979,進站中
去程,11,興隆國小,1169200360,25.001459,121.5530398,進站中
去程,12,興德國小,1169200560,25.000982,121.5500736,3分鐘
去程,13,興隆市場,1168900260,24.999584,121.5474484,5分鐘
去程,14,靜心高中,1168700360,24.998953,121.545835,5分鐘
去程,15,憲光公寓,1168000100,24.999719,121.5439365,6分鐘
去程,16,景明街口,1168200060,25.001808,121.5422591,7分鐘
去程,17,武功國小(興隆),1168100060,25.004266,121.5399955,8分鐘
去程,18,師大分部,1167700000,25.00767,121.5384703,10分鐘
去程,19,捷運公館站,1009000100,25.013993,121.535185,11分鐘
去程,20,臺大,1067300800,25.018029,121.53375,15分鐘
去程,21,臺大綜合體育館,1066000100,25.021405,121.5343881,16分鐘
去程,22,溫州街口,1064400460,25.026354,121.5326938,19分鐘
去程,23,師大綜合大樓,1064400360,25.026622,121.53006,19分鐘
去程,24,師大,1064400260,25.026738,121.5277134,21分鐘
去程,25,金山潮州街口,1064400100,25.028663,121.526353,進站中
去程,26,公企中心,1064200000,25.03066,121.52673,進站中
去程,27,捷運東門站(金山),1065000500,25.033211,121.5272129,進站中
返程,1,信義永康街口(捷運東門站),1065000320,25.033693,121.529727,5分鐘
返程,2,金華新生路口,1065000240,25.03087,121.53346,7分鐘
返程,3,和平新生路口,1064400040,25.02639,121.53478,8分鐘
返程,4,龍安國小(公務人力發展學院),1066000240,25.024664,121.5345198,10分鐘
返程,5,臺大綜合體育館,1066000140,25.02155,121.5341136,12分鐘
返程,6,臺大,1067300840,25.018239,121.533435,13分鐘
返程,7,捷運公館站,1009000140,25.014321,121.534722,15分鐘
返程,8,師大分部,1167700041,25.00814,121.538064,17分鐘
返程,9,武功國小(興隆),1168100020,25.004127,121.5398685,19分鐘
返程,10,景明街口,1168000020,25.001631,121.5422579,21分鐘
返程,11,憲光公寓,1168000140,24.999433,121.5438916,22分鐘
返程,12,靜心高中,1168700320,24.998797,121.545859,23分鐘
返程,13,興隆市場,1168700020,24.999632,121.547902,24分鐘
返程,14,興德國小,1168900420,25.00097,121.5503078,26分鐘
返程,15,興隆國小,1169000020,25.001221,121.5533283,27分鐘
返程,16,捷運萬芳醫院站,1169500121,24.999051,121.557681,29分鐘
返程,17,臺灣警察專科學校,1169800240,24.998268,121.5584948,31分鐘
返程,18,文山運動中心(萬芳),1169600020,24.996958,121.56078,33分鐘
返程,19,棕櫚泉社區,1169600320,24.99729,121.56229,進站中
返程,20,萬利街口,1165300220,24.998733,121.56623,進站中
返程,21,捷運萬芳社區站,1165300120,24.998858,121.5680836,進站中
返程,22,萬芳6號公園,1165300500,24.999654,121.569055,進站中
返程,23,萬芳國小,1165300460,25.001533,121.567472,進站中
返程,24,萬芳活動中心,1166500420,25.002391,121.5683789,3分鐘
返程,25,萬芳社區,1165300320,25.002253,121.5698159,4分鐘
