站序,站牌名稱,緯度,經度,站牌ID,預估時間
1,瑞湖街口,25.067523,121.576485,1149400220,26分
2,麗寶大樓,25.070424,121.58271,1149100300,進站中
3,公館山,25.071952,121.581177,1149100000,即將到站
4,瑞光路,25.074746,121.5776,1147400070,16分
5,內湖運動中心,25.07724,121.5755879,1144800300,20分
6,港墘派出所,25.0787,121.57642,1144800100,暫無資訊
7,西湖圖書館(湖光教會),25.078723,121.5785305,1144700020,26分
8,湖光國宅,25.078356,121.5815972,1147500320,進站中
9,捷運文德站(碧湖公園),25.078401,121.5841327,1147500220,15分
10,內湖高中,25.078703,121.5875658,1147500020,29分
11,方濟中學,25.076435,121.5900771,1146000140,3分
12,將軍嶺,25.073372,121.58972,1147200240,23分
13,三總內湖站,25.071852,121.592095,1149000100,28分
14,國防醫學中心,25.071037,121.5898699,1147200140,即將到站
15,內湖行政大樓,25.06916,121.58832,1146600160,21分
16,三民國中,25.06901,121.58556,1146600060,11分
17,時報廣場,25.06856,121.5831298,1149401060,進站中
18,民權大橋,25.06702,121.5791,1149400360,即將到站
19,新益里,25.062286,121.566155,1059200140,進站中
20,民生國中,25.059661,121.5679233,1059100040,進站中
21,新東街口,25.059272,121.5663967,1058900160,6分
22,三民路,25.0575,121.5634,1058200140,進站中
23,三民健康路口(西松高中),25.055245,121.5635808,1058200040,即將到站
24,健康新城,25.054217,121.5621625,1058600260,暫無資訊
25,長壽公園,25.054069,121.559764,1058600160,即將到站
26,三軍總醫院松山分院,25.053881,121.5578743,1056400060,暫無資訊
27,南京新村,25.052778,121.5568095,1057900140,進站中
28,博仁醫院,25.04937,121.55774,1056000040,暫無資訊
29,光復路口,25.048151,121.5567576,1055400060,即將到站
30,美仁里,25.04821,121.553906,1055400160,29分
31,臺視,25.048248,121.551437,1055900061,暫無資訊
32,市民敦化路口,25.045271,121.548797,1055700240,進站中
33,忠孝敦化路口,25.041865,121.5487541,1069000140,29分
34,仁愛敦化路口,25.039043,121.548697,1068500140,4分
35,信義敦化路口,25.034123,121.5485022,1068100141,即將到站
36,信義大安路口,25.033383,121.5461666,1068400060,暫無資訊
37,捷運大安站(信義),25.033404,121.5438266,1068400260,17分
38,師大附中,25.033382,121.542275,1065800360,8分
39,信義建國路口,25.033595,121.538468,1065800160,即將到站
40,捷運大安森林公園站,25.03355,121.5359159,1065600460,即將到站
41,信義新生路口,25.033627,121.5331327,1065600360,進站中
42,信義永康街口,25.033765,121.5301447,1065100260,12分
43,捷運東門站,25.034232,121.526986,1005700060,26分
44,信義杭州路口,25.035417,121.5246296,1004800860,即將到站
45,中正紀念堂,25.03739,121.52056,1004800960,進站中
46,捷運台大醫院站,25.041927,121.5163535,1004801100,即將到站
47,博物館(館前),25.044177,121.5150573,1004700200,進站中
48,臺北車站(忠孝),25.046563,121.5156894,1004100720,21分
49,臺北車站(公園),25.043929,121.516775,1004700340,進站中
50,捷運台大醫院站,25.041935,121.5161481,1004600040,即將到站
51,中正紀念堂,25.037153,121.520771,1004800920,進站中
52,信義杭州路口,25.0357,121.5238361,1004800820,即將到站
53,捷運東門站,25.034134,121.5269937,1064100120,26分
54,信義永康街口(捷運東門站),25.033693,121.529727,1065000320,7分
55,信義新生路口,25.03353,121.5323283,1006100020,進站中
56,捷運大安森林公園站,25.033496,121.5356316,1065600420,即將到站
57,信義建國路口,25.033441,121.539045,1065800120,即將到站
58,捷運大安站(信義),25.033323,121.5432319,1065800420,17分
59,信義大安路口,25.0332,121.5456,1068300220,暫無資訊
60,信義敦化路口,25.033262,121.548298,1068100120,即將到站
61,仁愛國中,25.035951,121.5490897,1068900100,28分
62,安和敦化路口,25.039761,121.5489579,1068900400,5分
63,捷運忠孝敦化站,25.043012,121.549174,1069000200,26分
64,市民大道口,25.045757,121.5491941,1055700000,暫無資訊
65,臺視,25.04807,121.5511,1055900020,暫無資訊
66,美仁里,25.048,121.55415,1055400120,29分
67,榮民服務處,25.048703,121.557946,1056000100,進站中
68,南京新村,25.052989,121.556952,1057900100,進站中
69,三軍總醫院松山分院,25.05367,121.55726,1058600020,暫無資訊
70,長壽公園,25.05381,121.55985,1058600120,即將到站
71,健康新城,25.053978,121.5626621,1058600220,暫無資訊
72,三民健康路口(西松高中),25.054814,121.5638473,1058200000,即將到站
73,三民路,25.05753,121.56368,1058200100,進站中
74,新東街口,25.05902,121.5664423,1058900120,6分
75,民生國中,25.060189,121.5676949,1059400200,進站中
76,新益里,25.062445,121.566269,1059200100,進站中
77,民權大橋,25.066876,121.5794778,1149400320,即將到站
78,時報廣場,25.068084,121.5821211,1149401020,進站中
79,三民國中,25.068803,121.5854057,1146600020,11分
80,內湖行政大樓,25.068934,121.5889192,1146600120,21分
81,國防醫學中心,25.07121,121.5900311,1147200100,即將到站
82,三總內湖站,25.071852,121.592095,1149000200,28分
83,將軍嶺,25.073809,121.5900167,1147200200,23分
84,方濟中學,25.076884,121.5902313,1146200000,3分
85,內湖高中,25.079013,121.5883097,1147500060,29分
86,捷運文德站(碧湖公園),25.078585,121.584249,1147500260,15分
87,湖光國宅,25.07859,121.58078,1147300060,進站中
88,西湖圖書館(湖光教會),25.07889,121.578499,1144700061,26分
89,港墘派出所,25.078636,121.57619,1144800240,暫無資訊
90,瑞光路,25.074821,121.577343,1149100230,16分
91,公館山,25.071988,121.5809507,1149100040,即將到站
92,麗寶大樓,25.070391,121.582671,1149100340,進站中
93,瑞湖街口,25.067659,121.576798,1149400261,26分
