方向,站序,站牌名稱,站牌ID,緯度,經度,預估時間
去程,1,士林監理站,1116900040,25.09515,121.51406,9分鐘
去程,2,福港街,1116800241,25.089884,121.517833,11分鐘
去程,3,承德路四段,1116800340,25.089268,121.5204586,12分鐘
去程,4,大南路口,1116700040,25.088519,121.5215607,12分鐘
去程,5,圓山皇宮大廈,1116600140,25.083468,121.5233264,14分鐘
去程,6,劍潭國小,1116600240,25.081056,121.5223096,16分鐘
去程,7,明倫高中,1036700240,25.07344,121.5191524,17分鐘
去程,8,庫倫街,1036700360,25.072013,121.5176838,19分鐘
去程,9,大龍峒保安宮,1036700060,25.07209,121.515621,19分鐘
去程,10,酒泉重慶路口,1037300160,25.072042,121.514591,19分鐘
去程,11,民族重慶路口,1036900040,25.068879,121.51371,21分鐘
去程,12,昌吉重慶路口,1036300240,25.06615,121.5136438,22分鐘
去程,13,捷運大橋頭站,1035900040,25.063324,121.5135163,23分鐘
去程,14,涼州重慶路口,1035800340,25.06098,121.5135093,25分鐘
去程,15,民生重慶路口,1035800140,25.05715,121.5136927,26分鐘
去程,16,朝陽公園(鈕釦街),1034500042,25.055504,121.514022,27分鐘
去程,17,圓環(南京),1035000220,25.053651,121.5157054,31分鐘
去程,18,捷運中山站(志仁高中),1035200120,25.05271,121.5196749,32分鐘
去程,19,南京林森路口,1045400120,25.052069,121.5250604,35分鐘
去程,20,南京吉林路口,1045700220,25.052007,121.529855,37分鐘
去程,21,捷運松江南京站,1045700420,25.051969,121.5327305,38分鐘
去程,22,南京建國路口,1048700320,25.051938,121.5362725,40分鐘
去程,23,南京龍江路口,1048700420,25.051888,121.5401689,41分鐘
去程,24,捷運南京復興站,1055000120,25.051804,121.5435614,43分鐘
去程,25,南京敦化路口(小巨蛋),1055100220,25.051703,121.5483534,進站中
去程,26,南京寧安街口,1058000020,25.051548,121.5547373,4分鐘
去程,27,博仁醫院,1056000040,25.04937,121.55774,7分鐘
去程,28,臺北市區監理所(光復),1055500040,25.04762,121.5577342,8分鐘
去程,29,捷運國父紀念館站(光復),1069400140,25.042558,121.557568,9分鐘
去程,30,國父紀念館,1069400040,25.039009,121.5574996,12分鐘
去程,31,市民住宅,1069500140,25.03669,121.55745,15分鐘
去程,32,三張犁,1069500040,25.034098,121.5573365,16分鐘
去程,33,世貿中心(莊敬),1104900140,25.031446,121.56127,19分鐘
去程,34,景新里,1104900440,25.02923,121.5624103,21分鐘
去程,35,臺北醫學大學,1105000340,25.028273,121.5632643,22分鐘
去程,36,信義國中(莊敬),1105000240,25.027402,121.565724,進站中
去程,37,吳興國小(松仁),1104600040,25.026231,121.568554,進站中
去程,38,松仁路,1104600240,25.024432,121.569585,4分鐘
返程,1,松仁路,1104600200,25.02453,121.5695997,5分鐘
返程,2,吳興國小(松仁),1104600000,25.026234,121.568628,8分鐘
返程,3,信義國中(莊敬),1105000200,25.027607,121.56521,10分鐘
返程,4,臺北醫學大學,1105000300,25.028241,121.5634888,11分鐘
返程,5,景新里,1104900400,25.029526,121.5623852,13分鐘
返程,6,世貿中心(莊敬),1104900100,25.031399,121.561326,14分鐘
返程,7,信義光復路口,1105200260,25.0331,121.55813,19分鐘
返程,8,三張犁,1107400000,25.033777,121.5575983,21分鐘
返程,9,市民住宅,1107300100,25.03663,121.5576,23分鐘
返程,10,國父紀念館,1069400000,25.039018,121.5577195,24分鐘
返程,11,捷運國父紀念館站(光復),1069400100,25.042733,121.557919,進站中
返程,12,臺北市區監理所(光復),1055500000,25.04698,121.5579397,5分鐘
返程,13,榮民服務處,1056000100,25.048703,121.557946,7分鐘
返程,14,南京寧安街口,1058000060,25.051659,121.5555163,9分鐘
返程,15,南京敦化路口(小巨蛋),1059500060,25.051793,121.5495209,10分鐘
返程,16,捷運南京復興站,1054700060,25.051885,121.5444647,12分鐘
返程,17,南京龍江路口,1048700460,25.051963,121.5407049,13分鐘
返程,18,南京建國路口,1048700360,25.052089,121.5372713,15分鐘
返程,19,捷運松江南京站,1048600160,25.052114,121.533302,16分鐘
返程,20,南京吉林路口,1045700260,25.052112,121.5303325,18分鐘
返程,21,南京林森路口,1045400160,25.052167,121.5257174,20分鐘
返程,22,捷運中山站(志仁高中),1035200160,25.052867,121.519866,3分鐘
返程,23,圓環(南京),1035000260,25.053538,121.5168987,6分鐘
返程,24,民生重慶路口,1035600000,25.056766,121.5138258,9分鐘
返程,25,涼州重慶路口,1035800300,25.060669,121.5135455,12分鐘
返程,26,捷運大橋頭站,1035900000,25.062704,121.513583,12分鐘
返程,27,昌吉重慶路口,1036300200,25.065794,121.5137575,15分鐘
返程,28,民族重慶路口,1036900000,25.068308,121.5137993,進站中
返程,29,酒泉重慶路口,1037300120,25.071985,121.5143475,3分鐘
返程,30,大龍峒保安宮,1036700020,25.071954,121.5154577,4分鐘
返程,31,庫倫街口,1036700400,25.072586,121.5190411,5分鐘
返程,32,明倫高中,1036800000,25.074249,121.5199745,6分鐘
返程,33,劍潭國小,1116700200,25.081066,121.5227513,8分鐘
返程,34,圓山皇宮大廈,1116600100,25.083356,121.523596,9分鐘
返程,35,大南路口,1116700000,25.0879,121.52225,12分鐘
返程,36,士商路,1116800100,25.091,121.51989,13分鐘
返程,37,士林高商,1116800000,25.093949,121.5176163,15分鐘
返程,38,兒童新樂園,1116500960,25.096364,121.5146581,17分鐘
