方向,站序,站牌名稱,站牌ID,緯度,經度,預估時間
去程,1,南港高工一,1157900240,25.056276,121.607046,進站中
去程,2,南港車站,1156800160,25.0534,121.6069591,進站中
去程,3,南港機廠,1156100360,25.051778,121.602893,4分鐘
去程,4,捷運昆陽站,1155700260,25.050346,121.593165,7分鐘
去程,5,捷運昆陽站,1155800022,25.050052,121.59306,8分鐘
去程,6,南港高中,1155100400,25.052951,121.5952331,10分鐘
去程,7,南港分局(向陽),1155100300,25.055334,121.5944152,11分鐘
去程,8,石潭公園(成功),1147000400,25.061289,121.591281,13分鐘
去程,9,上灣仔,1146700000,25.066818,121.5907148,15分鐘
去程,10,湖興,1146700100,25.067861,121.5908537,15分鐘
去程,11,國防醫學中心,1147200100,25.07121,121.5900311,18分鐘
去程,12,三總內湖站,1149000200,25.071852,121.592095,20分鐘
去程,13,將軍嶺,1147200200,25.073809,121.5900167,25分鐘
去程,14,方濟中學,1146200000,25.076884,121.5902313,26分鐘
去程,15,內湖高中,1147500060,25.079013,121.5883097,27分鐘
去程,16,捷運文德站(碧湖公園),1147500260,25.078585,121.584249,28分鐘
去程,17,湖光國宅,1147300060,25.07859,121.58078,30分鐘
去程,18,西湖圖書館(湖光教會),1144700060,25.079106,121.5779835,32分鐘
去程,19,港墘,1144700100,25.080919,121.5780678,33分鐘
去程,20,麗山高中(港墘),1144700201,25.082989,121.5783099,35分鐘
去程,21,麗山高中(環山),1145200160,25.084215,121.5767705,36分鐘
去程,22,麗山新村,1145200260,25.085224,121.5742675,36分鐘
去程,23,環山路,1145200060,25.086361,121.5713602,37分鐘
去程,24,德明財經科技大學(環山),1145100160,25.086482,121.5675277,38分鐘
去程,25,西湖國中,1144200040,25.08514,121.56545,40分鐘
去程,26,治磐新村,1144200160,25.083069,121.5640985,41分鐘
去程,27,文湖國小,1144600060,25.084381,121.5615357,42分鐘
去程,28,美麗華,1046400260,25.084817,121.5581193,44分鐘
去程,29,敬業四路,1046201940,25.081855,121.5584464,48分鐘
去程,30,大直美堤花園二,1046600660,25.08002,121.5574829,49分鐘
去程,31,敬業三路二,1046600900,25.081338,121.556408,50分鐘
返程,1,敬業三路一,1046600840,25.083024,121.556223,55分鐘
返程,2,敬業三路二,1046600940,25.081246,121.5562232,56分鐘
返程,3,大直美堤花園三,1046201320,25.079873,121.5566492,57分鐘
返程,4,敬業四路,1046601000,25.081142,121.558531,58分鐘
返程,5,美麗華,1144600120,25.084538,121.5581969,進站中
返程,6,文湖國小,1144600020,25.084151,121.5615165,3分鐘
返程,7,治磐新村,1149300020,25.082945,121.5638416,4分鐘
返程,8,西湖國中,1144300000,25.085622,121.5656019,6分鐘
返程,9,德明財經科技大學(環山),1145100120,25.086349,121.5682175,7分鐘
返程,10,環山路,1145200020,25.08579,121.57246,8分鐘
返程,11,麗山新村,1145200220,25.085184,121.5739432,9分鐘
返程,12,麗山高中(環山),1145200120,25.084057,121.5768304,10分鐘
返程,13,麗山高中(港墘),1144700240,25.08352,121.57808,11分鐘
返程,14,港墘,1144800040,25.080557,121.5775386,12分鐘
返程,15,西湖圖書館(湖光教會),1144700020,25.078723,121.5785305,14分鐘
返程,16,湖光國宅,1147500320,25.078356,121.5815972,14分鐘
返程,17,捷運文德站(碧湖公園),1147500220,25.078401,121.5841327,15分鐘
返程,18,內湖高中,1147500020,25.078703,121.5875658,17分鐘
返程,19,方濟中學,1146000140,25.076435,121.5900771,18分鐘
返程,20,將軍嶺,1147200240,25.073372,121.58972,19分鐘
返程,21,三總內湖站,1149000100,25.071852,121.592095,22分鐘
返程,22,國防醫學中心,1147200140,25.071037,121.5898699,25分鐘
返程,23,湖興,1146700140,25.06803,121.5906611,26分鐘
返程,24,上灣仔,1146700040,25.067,121.5905214,27分鐘
返程,25,石潭公園(成功),1146700240,25.061041,121.591015,29分鐘
返程,26,南港分局(向陽),1155100340,25.055748,121.5937887,31分鐘
返程,27,南港高中,1155100440,25.053019,121.5949802,31分鐘
返程,28,捷運昆陽站,1155700260,25.050346,121.593165,34分鐘
返程,29,捷運昆陽站,1155800022,25.050052,121.59306,36分鐘
返程,30,南港機廠,1156100320,25.051694,121.604333,39分鐘
返程,31,南港車站,1156800120,25.053195,121.6071781,41分鐘
返程,32,南港高工一,1157900200,25.055781,121.607246,43分鐘
返程,33,南港高工(重陽),1157300560,25.058039,121.605866,45分鐘
