公車到達時間,車站序號,車站名稱,車站編號,latitude,longitude
3分鐘,3,大理高中,1088300000,25.031919,121.491328
3分鐘,4,華江派出所,1088300100,25.034114,121.4933405
5分鐘,5,中國時報,1085500120,25.035221,121.496276
6分鐘,6,捷運龍山寺站,1085500320,25.035143,121.500164
7分鐘,7,昆明街口,1085100020,25.0351,121.5024902
10分鐘,8,和平中華路口,1006800120,25.032422,121.5062725
12分鐘,9,植物園,1007000220,25.030056,121.509834
4分鐘,12,聯合醫院婦幼院區一,1007500340,25.029987,121.5180375
5分鐘,13,南昌家具街,1008400140,25.027364,121.520315
9分鐘,14,羅斯福金門街口,1008400340,25.024288,121.5243501
9分鐘,15,羅斯福浦城街口,1064600340,25.022418,121.5260858
10分鐘,16,捷運台電大樓站,1008900420,25.020027,121.528697
3分鐘,18,捷運公館站,1009000140,25.014321,121.534722
5分鐘,19,公館,1067300020,25.012096,121.5385308
6分鐘,20,臺灣科技大學,1060700020,25.013453,121.5401488
6分鐘,21,臺大癌醫(基隆路),1067200720,25.015521,121.5425256
7分鐘,22,基隆長興街口,1067200320,25.017425,121.5448494
10分鐘,23,和平高中,1105200100,25.01963,121.54746
3分鐘,26,三興國小(臨江街觀光夜市),1105300100,25.028574,121.557017
4分鐘,27,吳興街口,1105200000,25.031596,121.5588464
7分鐘,28,世貿中心(莊敬),1104900140,25.031446,121.56127
8分鐘,29,景新里,1104900440,25.02923,121.5624103
8分鐘,30,臺北醫學大學,1105000340,25.028273,121.5632643
10分鐘,31,信義國中(莊敬),1105000240,25.027402,121.565724
12分鐘,32,吳興國小(莊敬),1105000020,25.026725,121.568122
